# F0(1,2),  F0(1,1),  F0(3,4),  F0(3,3) ,  F0(5,6),  F0(5,5),  F0(1,6),  F0(2,6),  F0(3,6),  F0(4,6),  PHY/(2.D0*PI),  PHZ/(2.D0*PI),  SCUM,  NOEL,  R(1,6),  R(2,6),  R(3,6),  R(4,6)
 -8.33943E-01   7.46472E-01   2.31127E+00   5.90839E+00   9.84190E-35   5.19092-270  -4.57265E-03   3.72462E-03   0.00000E+00   0.00000E+00   8.09738E-02   7.36630E-03   2.94817E+01      1  8.28091E-04   5.72296E-03   0.00000E+00   0.00000E+00
 -8.50203E-01   7.54886E-01   2.34420E+00   5.88513E+00   9.84190E-35   5.19092-270  -4.55386E-03   3.79381E-03   0.00000E+00   0.00000E+00   8.20332E-02   7.50117E-03   2.99814E+01      1  8.56947E-04   5.82731E-03   0.00000E+00   0.00000E+00
 -8.66573E-01   7.63463E-01   2.37682E+00   5.86154E+00   9.84190E-35   5.19092-270  -4.53473E-03   3.86330E-03   0.00000E+00   0.00000E+00   8.30807E-02   7.63658E-03   3.04811E+01      1  8.86326E-04   5.93204E-03   0.00000E+00   0.00000E+00
 -8.83056E-01   7.72205E-01   2.40913E+00   5.83762E+00   9.84190E-35   5.19092-270  -4.51525E-03   3.93311E-03   0.00000E+00   0.00000E+00   8.41164E-02   7.77253E-03   3.09808E+01      1  9.16228E-04   6.03715E-03   0.00000E+00   0.00000E+00
 -8.99654E-01   7.81111E-01   2.44113E+00   5.81339E+00   9.84190E-35   5.19092-270  -4.49542E-03   4.00324E-03   0.00000E+00   0.00000E+00   8.51404E-02   7.90905E-03   3.14805E+01      1  9.46657E-04   6.14266E-03   0.00000E+00   0.00000E+00
 -9.16368E-01   7.90184E-01   2.47281E+00   5.78883E+00   9.84190E-35   5.19092-270  -4.47523E-03   4.07369E-03   0.00000E+00   0.00000E+00   8.61526E-02   8.04614E-03   3.19802E+01      1  9.77614E-04   6.24855E-03   0.00000E+00   0.00000E+00
 -9.33202E-01   7.99425E-01   2.50417E+00   5.76396E+00   9.84190E-35   5.19092-270  -4.45470E-03   4.14447E-03   0.00000E+00   0.00000E+00   8.71532E-02   8.18382E-03   3.24799E+01      1  1.00910E-03   6.35485E-03   0.00000E+00   0.00000E+00
 -9.50157E-01   8.08835E-01   2.53520E+00   5.73878E+00   9.84190E-35   5.19092-270  -4.43381E-03   4.21560E-03   0.00000E+00   0.00000E+00   8.81421E-02   8.32209E-03   3.29796E+01      1  1.04112E-03   6.46156E-03   0.00000E+00   0.00000E+00
 -9.67236E-01   8.18414E-01   2.56590E+00   5.71329E+00   9.84190E-35   5.19092-270  -4.41257E-03   4.28706E-03   0.00000E+00   0.00000E+00   8.91196E-02   8.46098E-03   3.34792E+01      1  1.07367E-03   6.56868E-03   0.00000E+00   0.00000E+00
 -9.84440E-01   8.28165E-01   2.59627E+00   5.68749E+00   9.84190E-35   5.19092-270  -4.39096E-03   4.35887E-03   0.00000E+00   0.00000E+00   9.00855E-02   8.60049E-03   3.39789E+01      1  1.10676E-03   6.67622E-03   0.00000E+00   0.00000E+00
